uneatable	eatable
specifically	generally
because	why
busy	doing
dispensable	indispensable
unobvious	obvious
sounded	quiet
belated	punctual
reactively	proactively
fattening	slimming
dated	modern
went	arrived
below	above
dead	alive
her	his
partly	wholly
displeasing	favorable
quantitatively	qualitatively
disastrous	auspicious
learning	teaching
medially	laterally
forgetting	learning
hard	approachable
nationwide	locally
walking	running
offensive	inoffensive
unintentional	intentional
broad	focused
noncontagious	contagious
actual	possible
flappable	unflappable
intractable	resolvable
tardily	early
apologetic	unapologetic
inacceptable	acceptable
uncopyrighted	copyrighted
hardhearted	softhearted
noxious	innocuous
nondeterministic	deterministic
inattentive	attentive
loose	leashed
unmanned	manned
normally	surprisingly
halting	voluble
was	be
unliveable	liveable
insolvable	solvable
disenchanted	enchanted
untenured	tenured
unconstitutionally	constitutionally
imprecisely	accurately
destructively	constructively
decided	undecided
irreverently	reverently
unhallowed	hallowed
invisible	clear
yet	already
disconnected	connected
all	each
aliasing	antialiasing
ever	always
hatred	loving
conventional	imaginative
partial	impartial
deniable	undeniable
indistinctly	distinctly
anachronistic	contemporary
dextral	sinistral
undifferentiated	differentiated
blocked	free
ending	beginning
unrequested	requested
gently	roughly
unburied	interred
unnecessarily	necessarily
spoiled	unspoilt
abnormal	normal
unrated	rated
unfortunately	fortunately
single	each
fell	got
prokaryotic	eukaryotic
complex	basic
resistible	irresistible
innumerable	numerable
unjustifiable	justifiable
venal	uncorrupt
downwardly	upwardly
unengaging	engaging
selfishly	unselfishly
answerable	unanswerable
worldly	spiritual
stupid	learned
homosexually	heterosexually
incoming	outgoing
untempered	tempered
uncivil	civil
deflationary	inflationary
psychological	physical
inalterable	alterable
unpolished	civilized
unfavorable	favorable
unmerged	merged
hotheaded	coolheaded
untestable	testable
damned	sacred
incalculable	calculable
unexpended	expended
bored	busy
overexpressed	underexpressed
selfishly	altruistically
nonconsecutive	consecutive
unbearable	bearable
impalpable	palpable
unrestrained	restrained
unredeemed	redeemed
breakable	unbreakable
unnamed	named
traceable	untraceable
subjectively	objectively
indistinguishable	distinguishable
loose	monogamous
modern	classical
cancerous	noncancerous
definable	indefinable
dampen	kindle
intangibly	tangibly
unsignable	signable
detectable	undetectable
black	white
unmanageably	manageably
disingenuously	candidly
political	nonpolitical
artificially	naturally
disabled	abled
credulous	incredulous
unkindly	kindly
displeased	elated
unknowable	knowable
irresponsibly	accountably
procyclical	countercyclical
aforementioned	following
big	little
two	one
variable	invariable
publicly	privately
3	5
crappy	massive
uncertainly	certainly
irredeemable	redeemable
anticlinal	synclinal
closeted	out
inhibited	uninhibited
inquisitorial	accusatorial
undetected	detected
inconveniently	conveniently
tensed	loose
alternating	direct
initially	finally
irreversible	reversible
last	first
sedentary	active
actual	nominal
recent	ago
unsmiling	smiling
sluggish	kinetic
abridged	unabridged
lossmaking	profitmaking
intramural	extramural
after	former
incoherently	coherently
inhabited	uninhabited
inexperienced	experienced
imitable	inimitable
trinitarian	unitarian
minimize	maximize
nonrefundable	refundable
free	buy
overdetermined	underdetermined
incapable	capable
unluckily	luckily
seeded	unseeded
cluttered	uncluttered
disable	enable
enervated	peppy
correlated	uncorrelated
must	optional
back	forward
invincible	conquerable
could	would
unqualified	qualified
might	definitely
aliphatic	aromatic
inedible	edible
unpopular	popular
divisible	indivisible
specific	any
slow	lively
unsigned	signed
chaotic	systematic
insincere	sincere
idealistic	pragmatic
unstressed	stressed
eutrophic	oligotrophic
vulnerable	indomitable
caged	free
down	up
overprivileged	underprivileged
have	must
unconsolidated	consolidated
subconsciously	consciously
dissatisfying	satisfying
unreinforced	reinforced
ipsilateral	contralateral
ironically	unironically
unseasonable	seasonable
ephemeral	eternal
discourteous	courteous
inhospitable	hospitable
early	evening
lose	first
scathed	unscathed
small	generous
around	between
incongruous	congruous
replaceable	irreplaceable
visceral	cerebral
egoistic	altruistic
selling	buy
disingenuous	ingenuous
nightly	daily
insourcing	outsourcing
automatically	manually
inaudibly	audibly
preceding	succeeding
insoluble	soluble
many	one
flat	hilly
recordable	erasable
vanishing	appear
mixed	homogenous
inevitable	escapable
mutable	immutable
destructible	constructible
unbuildable	buildable
inexpressive	expressive
unrealizable	realizable
dammed	undammed
incomprehensibly	comprehensibly
dystopian	utopian
either	nor
fainthearted	stouthearted
challenging	unchallenging
losingest	winningest
clear	solid
foreign	domestic
except	including
packaged	loose
reducible	irreducible
single	dual
undersampled	oversampled
american	foreign
amoral	moral
arrogant	humble
playing	working
noiselessly	noisily
fettered	unfettered
forgetting	remember
atheistic	monotheistic
inexcusable	excusable
unintelligently	intelligently
incoming	outcoming
atonal	tonal
superficial	substantive
banned	legal
upwelling	downwelling
unprovable	provable
overactive	underactive
nonessential	necessary
nonassignable	assignable
inadvertently	advertently
asymmetrically	symmetrically
loquacious	quiet
perishable	imperishable
antipathetic	sympathetic
happen	never
empty	full
introverted	extroverted
indecipherable	decipherable
literally	virtually
unreformable	reformable
untenable	tenable
exclusive	inclusive
alcoholic	nonalcoholic
nonconsolidated	consolidated
unintelligibly	intelligibly
irrecoverable	recoverable
uncorrectable	correctable
casual	formal
unregistered	registered
exposed	private
premarketing	postmarketing
uneditable	editable
artificial	natural
nervous	adventurous
dependently	independently
sectarian	nonsectarian
undisciplined	disciplined
disagreeable	agreeable
expendable	reusable
traditional	nontraditional
exhaustible	inexhaustible
western	eastern
before	beyond
crowded	alone
unwinnable	winnable
discontinuous	continuous
impracticable	practicable
unauthorized	authorized
unemployable	employable
ashamed	unashamed
intractable	tractable
unliked	liked
illegally	legally
unlined	lined
puppy	kitten
theoretical	active
unused	used
immodestly	modestly
contested	uncontested
customary	unaccustomed
nonpotable	potable
overpriced	underpriced
frequently	infrequently
apathetic	empathic
divided	undivided
romantic	nonsexual
